load_id,pickup,delivery,distance,equipment,weight,date,actual_rate,predicted_rate,absolute_error,rate_per_mile
TR-042992,Houston,Hartford,1667.1,Dry Van,20533.0,2025-09-29,10119.16,3041.0212308046584,7078.138769195341,6.069917821366445
TR-039480,Syracuse,Indianapolis,829.7,Reefer,27194.0,2025-09-07,8354.94,1812.3143560883336,6542.625643911667,10.069832469567313
TR-039460,Phoenix,Lexington,2217.9,Dry Van,32609.0,2025-09-07,10528.39,4060.55532257809,6467.83467742191,4.74700843139907
TR-043643,Milwaukee,Baltimore,985.2,Dry Van,16150.0,2025-10-04,8236.26,1883.909975569471,6352.350024430529,8.359987819732034
TR-046668,Albuquerque,Lexington,1643.6,Dry Van,21757.0,2025-10-23,9305.14,3016.6008008755985,6288.539199124401,5.6614383061572155
TR-047821,Los Angeles,Little Rock,1722.4,Reefer,41796.0,2025-10-30,9939.89,3771.7753090310234,6168.114690968976,5.770953320947514
TR-045286,Providence,Baton Rouge,1590.7,Dry Van,30170.0,2025-10-14,9208.2,3051.4155601219913,6156.784439878009,5.788772238637078
TR-040080,Tucson,Columbia,2046.7,Flatbed,23285.0,2025-09-11,9993.31,4038.06568442357,5955.2443155764295,4.8826452337909805
TR-044162,Baton Rouge,Detroit,1189.2,Flatbed,31603.0,2025-10-07,8425.34,2520.9835307551034,5904.356469244896,7.084880591994618
TR-047662,Phoenix,Oklahoma City,1261.3,Dry Van,35825.0,2025-10-30,8276.0,2575.1937455460884,5700.806254453912,6.561484182985809
TR-043102,Fort Wayne,Albany,874.4,Reefer,32660.0,2025-09-30,7443.31,1903.9704002912574,5539.339599708743,8.51247712717292
TR-043185,Fort Wayne,Atlanta,548.4,Reefer,26544.0,2025-10-01,6477.13,1260.436452470034,5216.693547529966,11.810959153902262
TR-045174,Corpus Christi,Atlanta,832.1,Dry Van,47500.0,2025-10-13,7004.3,1787.9140220943304,5216.385977905669,8.417618074750632
TR-039439,Tucson,Houston,1292.0,Dry Van,40140.0,2025-09-07,7773.89,2628.9996529639784,5144.890347036022,6.016942724458205
TR-046614,Little Rock,Buffalo,1038.6,Flatbed,18497.0,2025-10-23,7151.41,2123.897344982251,5027.512655017748,6.885624879645677
TR-043727,Reno,Toledo,2117.6,Dry Van,25124.0,2025-10-04,8592.93,3686.2052220610303,4906.72477793897,4.057862674726105
TR-047993,Cincinnati,Mobile,457.0,Reefer,34524.0,2025-10-31,5561.19,1180.5808502498285,4380.609149750171,12.16890590809628
TR-042453,Fort Wayne,Hartford,840.2,Dry Van,20529.0,2025-09-26,5949.01,1602.4243314023815,4346.585668597619,7.080468935967627
TR-042438,Toledo,Austin,1445.9,Dry Van,37298.0,2025-09-26,7197.15,2892.036982662459,4305.11301733754,4.977626391866657
TR-044503,Columbia,Shreveport,650.2,Dry Van,21435.0,2025-10-09,5511.27,1377.4951127131137,4133.774887286887,8.476268840356813
TR-039292,Indianapolis,Amarillo,1083.3,Dry Van,35906.0,2025-09-06,6295.71,2204.3122425469287,4091.3977574530713,5.811603433951814
TR-039909,Montgomery,Washington,838.2,Reefer,31435.0,2025-09-10,5795.79,1927.4979171143984,3868.2920828856013,6.914566929133858
TR-040874,Bakersfield,Baltimore,2897.4,Reefer,25930.0,2025-09-16,1843.92,5687.330398887985,3843.410398887985,0.6364050528059639
TR-040049,New York,Los Angeles,2887.9,Flatbed,31240.0,2025-09-10,1758.37,5556.714581503606,3798.3445815036057,0.6088749610443575
TR-043917,Nashville,Dayton,424.2,Dry Van,25622.0,2025-10-05,4646.65,923.2709292068904,3723.3790707931093,10.953913248467703
TR-045988,Hartford,Fort Wayne,832.2,Flatbed,33558.0,2025-10-19,5308.55,1750.809139290036,3557.740860709964,6.378935352078827
